
Analysis Report:    

   N       time over        time over        is sorted?    speedup:
   N      serial code      Bitonic CUDA code
      4      0.00000          0.00000          YES     0.000000
      8      0.00000          0.00000          YES     0.000000
     16      0.00000          0.00000          YES     0.000000
     32      0.00000          0.00000          YES     0.000000
     64      0.00000          0.00000          YES     0.000000
    128      0.00100          0.00000          YES     1000000.000000
    256      0.00100          0.00000          YES     1000000.000000
    512      0.00000          0.00100          YES     0.000000
   1024      0.00100          0.00100          YES     0.999999
   2048      0.00200          0.00100          YES     1.999998
   4096      0.00300          0.00100          YES     2.999997
   8192      0.00500          0.00200          YES     2.499999
  16384      0.01100          0.00400          YES     2.749999
  32768      0.02200          0.00800          YES     2.750000
  65536      0.04300          0.01800          YES     2.388889
 131072      0.10400          0.03800          YES     2.736842
 262144      0.16600          0.08200          YES     2.024390
 524288      0.34300          0.17700          YES     1.937853
1048576      0.67700          0.37700          YES     1.795756

Analysis Report:    

   N       time over        time over        is sorted?    speedup:
   N      serial code      Bitonic CUDA code
      4      0.00000          0.00000          YES     0.000000
      8      0.00000          0.00000          YES     0.000000
     16      0.00000          0.00000          YES     0.000000
     32      0.00000          0.00000          YES     0.000000
     64      0.00000          0.00000          YES     0.000000
    128      0.00000          0.00100          YES     0.000000
    256      0.00000          0.00000          YES     0.000000
    512      0.00100          0.00100          YES     0.999999
   1024      0.00000          0.00100          YES     0.000000
   2048      0.00100          0.00100          YES     0.999999
   4096      0.00500          0.00200          YES     2.499999
   8192      0.00600          0.00200          YES     2.999999
  16384      0.01200          0.00500          YES     2.400000
  32768      0.02300          0.00800          YES     2.875000
  65536      0.04200          0.01700          YES     2.470588
 131072      0.09300          0.03900          YES     2.384615
 262144      0.17200          0.08300          YES     2.072289
 524288      0.34700          0.17800          YES     1.949438
1048576      0.68000          0.37500          YES     1.813333

Analysis Report:    

   N       time over        time over        is sorted?    speedup:
   N      serial code      Bitonic CUDA code
      4      0.00100          0.00000          YES     1000000.000000
      8      0.00000          0.00000          YES     0.000000
     16      0.00000          0.00100          YES     0.000000
     32      0.00000          0.00000          YES     0.000000
     64      0.00000          0.00000          YES     0.000000
    128      0.00000          0.00100          YES     0.000000
    256      0.00000          0.00000          YES     0.000000
    512      0.00000          0.00100          YES     0.000000
   1024      0.00000          0.00000          YES     0.000000
   2048      0.00000          0.00000          YES     0.000000
   4096      0.00100          0.00200          YES     0.500000
   8192      0.00100          0.00200          YES     0.500000
  16384      0.00200          0.00400          YES     0.500000
  32768      0.00600          0.00800          YES     0.750000
  65536      0.01500          0.01600          YES     0.937500
 131072      0.03500          0.03600          YES     0.972222
 262144      0.08000          0.07700          YES     1.038961
 524288      0.18800          0.17500          YES     1.074286
1048576      0.42300          0.37600          YES     1.125000

Analysis Report:    

   N       time over        time over        is sorted?    speedup:
   N      serial code      Bitonic CUDA code
      4      0.00000          0.00000          YES     0.000000
      8      0.00000          0.00000          YES     0.000000
     16      0.00000          0.00000          YES     0.000000
     32      0.00000          0.00000          YES     0.000000
     64      0.00000          0.00000          YES     0.000000
    128      0.00000          0.00000          YES     0.000000
